id,title,label,latintoponym,pleiades,welchid,golvinid,buildingtype,chronogroup,secondcentury,capacity,modcountry,romanregion,zotero,amphitheatrum,dimensionsunknown,arenamajor,arenaminor,extmajor,extminor,exteriorheight,longitude,latitude,elevation
aquincumMilitaryAmphitheater,Military Amphitheater at Budapest,Aquincum (Military),Aquincum,https://pleiades.stoa.org/places/197130,,124,amphitheater,imperial,TRUE,16049,Hungary,pannonia,,https://amphi-theatrum.de/1458.html,FALSE,88,42,131,107,,19.03906599,47.532947,101
aldburoughAmphitheater,Amphitheater at Aldborough,Aldburough,Isurium Brigantium,https://pleiades.stoa.org/places/89209,,,amphitheater,imperial,TRUE,,United Kingdom,britannia,,https://amphi-theatrum.de/1499.html,FALSE,58,47,,,,-1.3796296,54.0881157,41
perigueuxAmphitheater,Amphitheater at Perigueux,Périgueux,Vesunna Petrucoriorum,https://pleiades.stoa.org/places/138650,,136,amphitheater,first-century,TRUE,21413,France,aquitania,LD7NNHSG,https://amphi-theatrum.de/1407.html,FALSE,65,41,129,105,,0.713249,45.18274,97
cividateCamunoAmphitheater,Amphitheater at Cividate Camuno,Cividate Camuno,Civitas Camunnorum,https://pleiades.stoa.org/places/383617,,,amphitheater,imperial,TRUE,,Italy,regio-x,,https://amphi-theatrum.de/2945.html,FALSE,,,73,60,,10.280644,45.94381289,283
grumentoAmphitheater,Amphitheater at Grumento,Grumento,Grumentum,https://pleiades.stoa.org/places/442603,,92,amphitheater,imperial,TRUE,7657,Italy,regio-iii,,https://amphi-theatrum.de/1519.html,FALSE,60,40,90,70,,15.9115794,40.2876404,579
albaFucensAmphitheater,Amphitheater at Alba Fucens,Alba Fucens,Alba Fucens,https://pleiades.stoa.org/places/413005,,23,amphitheater,julio-claudian,TRUE,10720,Italy,regio-iv,,https://amphi-theatrum.de/1487.html,FALSE,64,37,103,76,,13.412289,42.0772,977
augstAmphitheater,Amphitheater at Augst,Augst,Augusta Raurica,https://pleiades.stoa.org/places/177494,,73,amphitheater,late-second-century,TRUE,14313,Switzerland,germania-superior,LD7NNHSG,https://amphi-theatrum.de/1411.html,FALSE,48,33,102,87,,7.72061,47.529294,285
sutriumAmphitheater,Amphitheater at Sutrium,Sutrium,Sutrium,https://pleiades.stoa.org/places/413328,15,8,amphitheater,republican,TRUE,8500,Italy,regio-vii,,,FALSE,,,77,,,12.2293009,42.2393124,271
sarmizegetusaAmphitheater,Amphitheater at Ulpia Traiana Sarmizegetusa,Sarmizegetusa,Ulpia Traiana Sarmizegetusa,https://pleiades.stoa.org/places/207527,,110,amphitheater,second-century,TRUE,5831,Romania,dacia,,,FALSE,66,47,88,69,,22.7853206,45.51667729,491
salonaAmphitheater,Amphitheater at Salona,Salona,Salona,https://pleiades.stoa.org/places/197488,,181,amphitheater,second-century,TRUE,13380,Croatia,dalmatia,,https://amphi-theatrum.de/1565.html,FALSE,64,40,125,101,,16.473893,43.5381718,8
londonAmphitheater,Amphitheater at London,London,Londinium,https://pleiades.stoa.org/places/79574,,,amphitheater,flavian,TRUE,6500,United Kingdom,britannia,,https://amphi-theatrum.de/1972.html,FALSE,60,40,100,85,,-0.092136,51.515522,29
tiburAmphitheater,Amphitheater at Tibur,Tibur,Tibur,https://pleiades.stoa.org/places/423081,,,amphitheater,hadrianic,TRUE,,Italy,regio-i,,,FALSE,,,85,,,12.798114,41.960571,248
caerleonAmphitheater,Amphitheater at Caerleon,Caerleon,Isca Augusta,https://pleiades.stoa.org/places/79532,,108,amphitheater,imperial,TRUE,6000,United Kingdom,britannia,,https://amphi-theatrum.de/1438.html,FALSE,55,41,80,66,,-2.956878,51.6080589,13
telesiaAmphitheater,Amphitheater at Telesia,Telesia,Telesia,https://pleiades.stoa.org/places/433147,9,6,amphitheater,republican,TRUE,9000,Italy,regio-i,,,FALSE,,,112,,,14.500496,41.223911,68
